Id foco,Latitud,Longitud,Anio,Mes abrev,Origen del fuego,Causa,Estado,Clase de tamano,Acres,Peso logaritmico
747382,34.02916667,-80.69166667,1992,Abr,No determinado,Ausente / No definida,Carolina del Sur,C,12.0,1.2639
639305,32.38874,-94.67731,2008,Ene,No determinado,Miscelanea,Texas,A,0.1,0.1914
968287,26.81,-81.52,1996,Nov,Antropico,Ferrocarril,Florida,C,60.0,1.9353
1112677,40.33,-120.63305555,1997,Jul,Natural,Rayo,California,A,0.1,0.1914
874814,33.8817,-85.105,1999,Mar,Antropico,Quema de desechos,Georgia,B,2.0,0.6271
1117150,39.135,-121.58694444,2000,Ago,No determinado,Miscelanea,California,A,0.1,0.1914
108435,33.26333333,-116.77166667,1998,May,No determinado,Miscelanea,California,A,0.1,0.1914
668790,47.71778997,-117.75749999,2005,Ago,No determinado,Miscelanea,Washington,C,30.0,1.6414
571665,40.89194,-75.3825,2008,Abr,Antropico,Quema de desechos,Pensilvania,B,0.6,0.3541
238309,41.42,-109.3018,1999,Jul,Natural,Rayo,Wyoming,B,0.5,0.3261
1165556,34.80836295,-88.66705196,1997,May,Antropico,Incendio intencional,Misisipi,B,1.0,0.451
336081,37.4211,-115.0822,2006,Ago,Natural,Rayo,Nevada,F,4046.0,3.7571
536959,41.43911,-96.4912,2007,Jul,Antropico,Incendio intencional,Nebraska,A,0.1,0.1914
1754134,34.99338333,-83.97321666,2014,Mar,Antropico,Quema de desechos,Carolina del Norte,B,1.5,0.5479
670900,44.51919,-90.94794,2007,Abr,Antropico,Incendio intencional,Wisconsin,B,0.28,0.2572
1850848,33.870701,-101.119194,2015,Jul,No determinado,Miscelanea,Texas,C,15.0,1.3541
823376,31.9917,-90.7008,2000,Mar,No determinado,Miscelanea,Misisipi,A,0.1,0.1914
887050,30.9436,-92.7294,1998,Jun,No determinado,Miscelanea,Luisiana,A,0.1,0.1914
1595486,27.5531,-80.3748,2012,Ene,No determinado,Miscelanea,Florida,C,26.5,1.5893
815378,31.5981,-89.945,2005,Nov,Antropico,Quema de desechos,Misisipi,B,2.0,0.6271
656814,30.20397,-97.30074,2008,Oct,Antropico,Quema de desechos,Texas,A,0.1,0.1914
1509743,36.089681,-119.565863,2011,Ago,Antropico,Menores de edad,California,A,0.11,0.1953
715072,44.09999827,-69.96666694,1992,May,Antropico,Fumadores,Maine,B,0.5,0.3261
650484,32.90805,-96.42085,2008,Jul,No determinado,Miscelanea,Texas,B,5.0,0.9282
793338,44.92774829,-88.3345847,1996,Abr,Antropico,Quema de desechos,Wisconsin,A,0.2,0.2292
228897,37.49968,-114.575,1999,May,Natural,Rayo,Nevada,B,5.0,0.9282
1255092,32.6302,-84.7461,2001,Nov,Antropico,Quema de desechos,Georgia,A,0.2,0.2292
580164,33.65361001,-81.67055999,2003,Dic,Antropico,Quema de desechos,Carolina del Sur,B,1.3,0.5117
1514953,34.69413333,-79.228,2011,Feb,No determinado,Ausente / No definida,Carolina del Norte,C,10.0,1.1914
524239,36.20903,-80.17483,2007,Feb,No determinado,Ausente / No definida,Carolina del Norte,A,0.1,0.1914
470466,37.93819999,-82.56896999,2005,Abr,No determinado,Ausente / No definida,Kentucky,B,5.0,0.9282
1684799,30.70166,-90.57815,2013,Oct,No determinado,Miscelanea,Luisiana,B,1.57,0.5599
313578,38.401658,-120.643578,2007,Ago,Antropico,Uso de equipos,California,A,0.1,0.1914
476043,31.78452308,-93.54147914,2005,Dic,Natural,Rayo,Luisiana,C,30.0,1.6414
1030228,35.2917,-83.265,1998,Sep,Antropico,Uso de equipos,Carolina del Norte,A,0.1,0.1914
356603,37.5417,-119.6497,2009,Oct,No determinado,Miscelanea,California,A,0.1,0.1914
225423,42.4671,-113.4947,1997,Sep,Natural,Rayo,Idaho,B,4.0,0.849
772368,43.80033,-122.40833,2006,Sep,Antropico,Uso de equipos,Oregon,A,0.01,0.1543
1773273,34.96793333,-80.67805,2014,Nov,Antropico,Menores de edad,Carolina del Norte,B,1.0,0.451
186091,45.9716,-89.8888,1997,Abr,Antropico,Menores de edad,Wisconsin,A,0.1,0.1914
1873059,33.889516,-117.070814,2010,Sep,No determinado,Ausente / No definida,California,C,75.0,2.0308
1646613,47.9889,-99.0,2013,May,Antropico,Incendio intencional,Dakota del Norte,B,1.0,0.451
390883,32.65793928,-110.69758676,2006,Jul,No determinado,Ausente / No definida,Arizona,A,0.1,0.1914
364740,37.221642,-120.47897,2001,Ago,Antropico,Uso de equipos,California,A,0.1,0.1914
1405483,31.3441,-83.1747,1993,Jul,Antropico,Quema de desechos,Georgia,B,0.34,0.2771
1558750,30.1216,-104.192,2011,Jul,Natural,Rayo,Texas,B,4.0,0.849
1246041,32.6474,-85.0102,2000,Jul,Antropico,Incendio intencional,Georgia,B,1.13,0.4784
23019,45.75777778,-114.60027778,2007,Jul,Natural,Rayo,Idaho,B,3.5,0.8032
1509312,32.8574566,-85.3761311,2011,Mar,Antropico,Incendio intencional,Alabama,C,15.0,1.3541
1814019,32.193047,-95.35429,2015,Dic,Antropico,Uso de equipos,Texas,B,0.5,0.3261
468906,37.30390999,-83.24985,2004,Feb,No determinado,Ausente / No definida,Kentucky,B,2.0,0.6271
460083,32.90535045,-82.78549947,2009,Oct,Antropico,Quema de desechos,Georgia,B,1.32,0.5155
1605197,33.49015,-92.188,2012,Feb,Antropico,Quema de desechos,Arkansas,B,2.0,0.6271
430682,32.89137054,-83.26342345,2004,Mar,Antropico,Quema de desechos,Georgia,A,0.1,0.1914
1276216,45.913633,-91.439373,2009,Abr,Antropico,Quema de desechos,Wisconsin,A,0.08,0.1834
796145,43.7654986,-89.79974004,1996,Jul,No determinado,Miscelanea,Wisconsin,A,0.2,0.2292
1119090,40.48194444,-122.52888888,1996,May,Antropico,Fumadores,California,B,1.0,0.451
1398557,32.4069,-83.2079,1995,May,Natural,Rayo,Georgia,B,0.75,0.393
1293849,40.56094627,-74.14956968,2008,Mar,No determinado,Miscelanea,Nueva York,A,0.1,0.1914
184437,47.8833,-94.8169,1997,Abr,No determinado,Miscelanea,Minnesota,B,1.0,0.451
1329474,43.86211773,-75.93860062,2003,Abr,No determinado,Miscelanea,Nueva York,B,2.0,0.6271
